,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTMR12,0.3892096415687004,0.058244998497711815,0.9072373715349769,0.06420039597703707,0.9488106621030501,0.9999414166694955
MTMR10,0.7685768027030527,0.0456172622516841,0.5881571109055609,0.07755965439480807,0.9381783367906043,0.9999414166694955
MX1,2.0364427979973225,0.24452652314299864,0.5236223019439146,0.46699027569148494,0.6405068353975888,0.9999414166694955
MVP,0.30228546258973604,-0.27584916326060527,1.0281556314663327,-0.2682951440602386,0.7884721437299561,0.9999414166694955
MVD,0.13561860516946592,-0.9194484234001078,1.9986061505584958,-0.46004482831355975,0.6454840439394641,0.9999414166694955
MUTYH,0.10002875270041477,0.2650205065302947,1.6240239600659916,0.1631875594492619,0.8703707610295466,0.9999414166694955
MUT,0.18611850934855984,-0.2078276153899197,1.3605423727989527,-0.15275350444423857,0.8785926653891095,0.9999414166694955
MUL1,0.20584711476613266,0.0361606548993028,1.357444642945232,0.026638769460863937,0.9787478506641177,0.9999414166694955
MTX2,0.11863310470479588,0.01056328354407835,1.3406674108885974,0.007879123083238803,0.9937134343848928,0.9999414166694955
MTSS1,1.5197245958375984,0.6795557129931953,0.48711863883680606,1.3950517570337917,0.16300023254953344,0.9999414166694955
MTRR,0.14610861501333516,-0.07561743008613792,2.007540161769573,-0.03766670850534015,0.9699534199144078,0.9999414166694955
MTRNR2L8,4.746534746542054,0.8433687257822153,0.5398471910783791,1.5622360173765704,0.11823239861347833,0.9999414166694955
MTRNR2L12,8.28961449763151,0.5938583719652208,0.29245394127414037,2.0306047830230813,0.042295102144709225,0.9999414166694955
MTRNR2L10,0.941053899308321,0.8923781803997184,1.008839765613828,0.8845588871655465,0.3763945888448037,0.9999414166694955
MTRNR2L1,2.950388381901913,1.089469879031787,0.757909336704032,1.437467288329806,0.15058526117492077,0.9999414166694955
MTRF1L,0.2511569720576619,-0.2723452587462811,1.08997603018012,-0.2498635302110962,0.8026928874667243,0.9999414166694955
MTR,0.5809433740977485,0.19480666939045102,0.8097146436649102,0.2405868177321358,0.8098753680576165,0.9999414166694955
MTPN,1.301384517308621,0.6271591362888982,0.5242219436266425,1.1963618538173382,0.23155538063994252,0.9999414166694955
MYL6,5.729649097278249,0.05354428578514131,0.23970243783350634,0.22337814445730567,0.8232412128041244,0.9999414166694955
MYL12B,3.983649081029216,0.48505435209816256,0.2373562161022482,2.0435713041920547,0.040995916547368595,0.9999414166694955
MYH9,5.165030711081078,0.06446310265852492,0.21037820933571194,0.30641530252621196,0.7592884586190892,0.9999414166694955
MYDGF,0.22685076738789506,0.01116339028122927,1.406158280344659,0.007938928666332673,0.9936657179259193,0.9999414166694955
MYD88,0.7933560903628584,1.1193898203708266,0.6882909987429455,1.6263322089279313,0.10387900348706529,0.9999414166694955
MYCBP2,2.468685746809525,-0.013349215777143673,0.3694276536104873,-0.03613485792598153,0.9711748278627099,0.9999414166694955
MYCBP,0.37064651255305536,0.28282154642540186,1.1569362087664605,0.2444573385138923,0.8068766387116731,0.9999414166694955
MYC,1.0073714652138384,-0.21166157023630186,0.5642722600798802,-0.37510539718244945,0.7075820832453719,0.9999414166694955
MYBL2,0.13957109889144884,-0.5178366524711702,1.7791933487658909,-0.2910513648392174,0.7710120356153819,0.9999414166694955
MYBBP1A,0.10577144102520475,-0.10488422392302368,1.5969676422455397,-0.06567711276575593,0.9476348944294718,0.9999414166694955
MYADM,0.4336514729366578,-0.7226826298086952,0.9771173613708098,-0.7396067845881226,0.45953862372421106,0.9999414166694955
